"pair","dataset","dataset_label","chemical","year","gender","age_group","n","geo_mean","median","p25","p75"
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXIHG",2013,"Male","45–64",86,0.247995033605266,0.19,0.19,0.3
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXIHG",2013,"Male","65+",38,0.264975280392521,0.19,0.19,0.3225
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXIHG",2013,"Male","<18",33,0.219939878620458,0.19,0.19,0.19
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXIHG",2015,"Female","18–44",95,0.230117880299808,0.19,0.19,0.19
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXIHG",2015,"Female","45–64",82,0.234191932185083,0.19,0.19,0.2775
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXIHG",2015,"Female","65+",50,0.226295496048676,0.19,0.19,0.19
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXIHG",2015,"Female","<18",31,0.194617925680237,0.19,0.19,0.19
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXIHG",2015,"Male","18–44",102,0.218181888035798,0.19,0.19,0.19
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXIHG",2015,"Male","45–64",61,0.229737022435085,0.19,0.19,0.19
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXIHG",2015,"Male","65+",45,0.222146387141217,0.19,0.19,0.19
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXIHG",2015,"Male","<18",40,0.22130369647757,0.19,0.19,0.19
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXIHG",2017,"Female","18–44",374,0.183855249640356,0.15,0.15,0.15
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXIHG",2017,"Female","45–64",312,0.207447054986657,0.15,0.15,0.24
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXIHG",2017,"Female","65+",210,0.198054217452359,0.15,0.15,0.24
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXIHG",2017,"Female","<18",123,0.165300334040459,0.15,0.15,0.15
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXIHG",2017,"Male","18–44",340,0.16859638019278,0.15,0.15,0.15
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXIHG",2017,"Male","45–64",308,0.192204279417001,0.15,0.15,0.23
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXIHG",2017,"Male","65+",214,0.18655768850674,0.15,0.15,0.21
"IHGEM_vs_PFAS","IHGEM","Mercury: Inorganic, Ethyl & Methyl (Blood)","LBXIHG",2017,"Male","<18",119,0.168954317115477,0.15,0.15,0.15
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXBFOA",2015,"Female","18–44",91,0.07,0.07,0.07,0.07
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXBFOA",2015,"Female","45–64",81,0.0770516340384204,0.07,0.07,0.07
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXBFOA",2015,"Female","65+",50,0.0710058479971824,0.07,0.07,0.07
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXBFOA",2015,"Female","<18",30,0.07,0.07,0.07,0.07
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXBFOA",2015,"Male","18–44",100,0.07,0.07,0.07,0.07
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXBFOA",2015,"Male","45–64",59,0.0708514844632201,0.07,0.07,0.07
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXBFOA",2015,"Male","65+",45,0.0739271473502489,0.07,0.07,0.07
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXBFOA",2015,"Male","<18",38,0.07,0.07,0.07,0.07
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXBFOA",2017,"Female","18–44",363,0.0737709645456671,0.07,0.07,0.07
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXBFOA",2017,"Female","45–64",297,0.0747841300394965,0.07,0.07,0.07
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXBFOA",2017,"Female","65+",203,0.0782989342297192,0.07,0.07,0.07
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXBFOA",2017,"Female","<18",114,0.0772809558028439,0.07,0.07,0.07
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXBFOA",2017,"Male","18–44",334,0.0763425270517955,0.07,0.07,0.07
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXBFOA",2017,"Male","45–64",296,0.0770010120668749,0.07,0.07,0.07
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXBFOA",2017,"Male","65+",207,0.0755550932376451,0.07,0.07,0.07
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXBFOA",2017,"Male","<18",115,0.0784545104031834,0.07,0.07,0.07
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMFOS",2015,"Female","18–44",91,0.698872455411586,0.6,0.5,1.1
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMFOS",2015,"Female","45–64",81,1.33458460740782,1.5,0.8,2.3
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMFOS",2015,"Female","65+",50,2.60497200580568,2.65,1.725,4
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMFOS",2015,"Female","<18",30,0.736936045286821,0.8,0.525,1
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMFOS",2015,"Male","18–44",100,1.67342729035571,1.8,1.075,2.5
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMFOS",2015,"Male","45–64",59,2.88004573777404,3.1,2,3.85
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMFOS",2015,"Male","65+",45,2.9523379044456,3.6,1.9,5.2
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMFOS",2015,"Male","<18",38,0.964876229909989,0.95,0.8,1.375
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMFOS",2017,"Female","18–44",363,0.565739828789232,0.6,0.4,0.9
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMFOS",2017,"Female","45–64",297,1.08099934005833,1.1,0.7,1.9
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMFOS",2017,"Female","65+",203,2.09580729627355,2.2,1.4,3.6
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMFOS",2017,"Female","<18",114,0.54046366416084,0.5,0.4,0.7
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMFOS",2017,"Male","18–44",334,1.22210233739715,1.3,0.9,1.9
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMFOS",2017,"Male","45–64",296,1.87736186621891,1.9,1.3,3
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMFOS",2017,"Male","65+",207,2.7009705552126,3.1,1.85,4.7
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMFOS",2017,"Male","<18",115,0.713298748120253,0.7,0.5,1
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMPAH",2013,"Female","18–44",117,0.0963502415001783,0.07,0.07,0.1
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMPAH",2013,"Female","45–64",71,0.107963908043044,0.07,0.07,0.1
"IHGEM_vs_PFAS","PFAS","PFAS (Serum)","LBXMPAH",2013,"Female","65+",73,0.148275950201653,0.1,0.07,0.3
