"dataset_a","label_a","dataset_b","label_b","years_both_collected","years_available","total_overlap_sum","max_single_year"
"UVOC","VOC Metabolites – Urine (2011-2017; 2005-2009 not published per audit)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",4,"2011, 2013, 2015, 2017",11564,3279
"OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine","ALB_CR","Albumin & Creatinine – Urine (all cycles)",4,"2003, 2005, 2007, 2015",11267,3205
"PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","UHG","Mercury: Inorganic – Urine (all cycles)",4,"2003, 2005, 2007, 2009",11026,2941
"PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]",4,"2003, 2005, 2007, 2009",10881,2819
"PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",4,"2003, 2005, 2007, 2009",10872,2819
"PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)",4,"2003, 2005, 2007, 2009",10872,2819
"PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","IHG","Mercury: Inorganic – Blood (2005 only)",1,"2005",9440,9440
"PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)",4,"2003, 2005, 2007, 2009",9417,2432
"PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)",7,"2005, 2007, 2009, 2011, 2013, 2015, 2017",9038,2718
"VOCWB","VOCs – Blood (full panel, all cycles)","UVOC","VOC Metabolites – Urine (2011-2017; 2005-2009 not published per audit)",4,"2011, 2013, 2015, 2017",8883,2324
"VOC_TTHM","VOCs – Trihalomethanes/MTBE/Nitromethane – Blood  [NEEDS_VALIDATION for 2007]","UVOC","VOC Metabolites – Urine (2011-2017; 2005-2009 not published per audit)",4,"2011, 2013, 2015, 2017",8883,2324
"UPHOPM","Pyrethroids, Herbicides & OP Metabolites – Urine (2011-2015, UPHOPM series)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",3,"2011, 2013, 2015",8469,3205
"PBCD_EXT","Cadmium, Lead, Hg, Selenium & Manganese – Blood (2011-2017)","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)",4,"2011, 2013, 2015, 2017",8189,2986
"IHGEM","Mercury: Inorganic, Ethyl & Methyl – Blood (2007-2017)","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",3,"2007, 2009, 2011",8131,2819
"IHGEM","Mercury: Inorganic, Ethyl & Methyl – Blood (2007-2017)","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]",3,"2007, 2009, 2011",8107,2819
"IHG","Mercury: Inorganic – Blood (2005 only)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",1,"2005",8086,8086
"IHG","Mercury: Inorganic – Blood (2005 only)","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)",1,"2005",8086,8086
"OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]",3,"2003, 2005, 2007",8062,2756
"PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine",3,"2003, 2005, 2007",8062,2756
"PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]",4,"2005, 2007, 2009, 2011",8044,2756
"PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","PP","Pesticides – Current Use / Priority Pesticides – Urine (2003-2007)  [NEEDS_VALIDATION for 2003]",3,"2003, 2005, 2007",7968,2718
"PP","Pesticides – Current Use / Priority Pesticides – Urine (2003-2007)  [NEEDS_VALIDATION for 2003]","ALB_CR","Albumin & Creatinine – Urine (all cycles)",3,"2003, 2005, 2007",7968,2718
"PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)","PAH","Polyaromatic Hydrocarbons (PAHs) – Urine (2003-2011)",4,"2005, 2007, 2009, 2011",7950,2718
"PBCD","Cadmium, Lead & Total Mercury – Blood (2003-2009)","VOC_TTHM","VOCs – Trihalomethanes/MTBE/Nitromethane – Blood  [NEEDS_VALIDATION for 2007]",2,"2007, 2009",7160,3745
"IHGEM","Mercury: Inorganic, Ethyl & Methyl – Blood (2007-2017)","PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)",3,"2007, 2009, 2011",6903,2432
"UHG","Mercury: Inorganic – Urine (all cycles)","PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)",5,"2003, 2005, 2007, 2009, 2011",6868,2368
"PFC","Polyfluoroalkyl Chemicals – Serum (2003-2011, PFC series)","PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)",4,"2005, 2007, 2009, 2011",6794,2323
"VOCWB","VOCs – Blood (full panel, all cycles)","PEST","Pesticides – Environmental – Urine (2003-2011)  [NEEDS_VALIDATION: 2005-2011]",5,"2003, 2005, 2007, 2009, 2011",6676,2389
"PFAS","PFAS – Serum (2013-2017, renamed from PFC)","ALB_CR","Albumin & Creatinine – Urine (all cycles)",3,"2013, 2015, 2017",6642,2339
"PFAS","PFAS – Serum (2013-2017, renamed from PFC)","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)",3,"2013, 2015, 2017",6642,2339
"PERNT","Perchlorate, Nitrate & Thiocyanate – Urine (2005-2017)","OPD","Organophosphate Insecticides – Dialkyl Phosphate Metabolites – Urine",3,"2005, 2007, 2015",6037,2756
"VOCWB","VOCs – Blood (full panel, all cycles)","PHTHTE","Phthalates & Plasticizers Metabolites – Urine (all cycles)",8,"2003, 2005, 2007, 2009, 2011, 2013, 2015, 2017",5818,2177
