"dataset","year","chemical","n_total","n_below_lod","pct_below","dataset_label","lod_flag"
"PFC",2003,"LBXPFHS",2094,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2005,"LBXPFHS",2120,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2007,"LBXPFHS",2100,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2009,"LBXPFHS",2233,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2011,"LBXPFHS",1904,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2003,"LBXPFNA",2094,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2005,"LBXPFNA",2120,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2007,"LBXPFNA",2100,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2009,"LBXPFNA",2233,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2011,"LBXPFNA",1904,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2003,"LBXPFOA",2094,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2005,"LBXPFOA",2120,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2007,"LBXPFOA",2100,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2009,"LBXPFOA",2233,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2011,"LBXPFOA",1904,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2003,"LBXPFOS",2094,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2005,"LBXPFOS",2120,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2007,"LBXPFOS",2100,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2009,"LBXPFOS",2233,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2011,"LBXPFOS",1904,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2003,"LBXPFSA",2094,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2005,"LBXPFSA",2120,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2007,"LBXPFSA",2100,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2009,"LBXPFSA",2233,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2011,"LBXPFSA",1904,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2003,"LBXPFUA",2094,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
"PFC",2005,"LBXPFUA",2120,NA,NA,"Polyfluoroalkyl Chemicals (Serum)","Mostly detected (reliable)"
